location,population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,4/30/2021,13232,17.13
Andorra,77265,4/29/2021,13198,17.08
Andorra,77265,4/28/2021,13148,17.02
Andorra,77265,4/27/2021,13121,16.98
Andorra,77265,4/26/2021,13083,16.93
Andorra,77265,4/25/2021,13060,16.9
Andorra,77265,4/24/2021,13024,16.86
Andorra,77265,4/23/2021,13007,16.83
Andorra,77265,4/22/2021,12942,16.75
Andorra,77265,4/21/2021,12917,16.72
Andorra,77265,4/20/2021,12874,16.66
Andorra,77265,4/18/2021,12805,16.57
Andorra,77265,4/19/2021,12805,16.57
Andorra,77265,4/17/2021,12771,16.53
Andorra,77265,4/16/2021,12712,16.45
Andorra,77265,4/14/2021,12641,16.36
Andorra,77265,4/15/2021,12641,16.36
Andorra,77265,4/13/2021,12614,16.33
Andorra,77265,4/12/2021,12581,16.28
Andorra,77265,4/11/2021,12545,16.24
Andorra,77265,4/10/2021,12497,16.17
Andorra,77265,4/9/2021,12456,16.12
Andorra,77265,4/8/2021,12409,16.06
Andorra,77265,4/7/2021,12363,16
Andorra,77265,4/6/2021,12328,15.96
Andorra,77265,4/5/2021,12286,15.9
Andorra,77265,4/4/2021,12231,15.83
Andorra,77265,4/3/2021,12174,15.76
Andorra,77265,4/2/2021,12115,15.68
Andorra,77265,4/1/2021,12053,15.6
Andorra,77265,3/31/2021,12010,15.54
Montenegro,628062,4/30/2021,97389,15.51
Montenegro,628062,4/29/2021,97257,15.49
Montenegro,628062,4/28/2021,97080,15.46
Andorra,77265,3/30/2021,11944,15.46
Montenegro,628062,4/27/2021,96930,15.43
Montenegro,628062,4/26/2021,96779,15.41
Montenegro,628062,4/25/2021,96660,15.39
Andorra,77265,3/29/2021,11888,15.39
Montenegro,628062,4/24/2021,96499,15.36
Montenegro,628062,4/23/2021,96348,15.34
Andorra,77265,3/28/2021,11850,15.34
Montenegro,628062,4/22/2021,96187,15.31
Montenegro,628062,4/21/2021,96048,15.29
Andorra,77265,3/27/2021,11809,15.28
Montenegro,628062,4/20/2021,95894,15.27
Montenegro,628062,4/19/2021,95695,15.24
Czechia,10708982,4/30/2021,1630758,15.23
Czechia,10708982,4/29/2021,1628536,15.21
Montenegro,628062,4/18/2021,95551,15.21
Montenegro,628062,4/17/2021,95377,15.19
Czechia,10708982,4/28/2021,1626033,15.18
Andorra,77265,3/26/2021,11732,15.18
Montenegro,628062,4/16/2021,95205,15.16
Czechia,10708982,4/27/2021,1622777,15.15
Czechia,10708982,4/26/2021,1620206,15.13
Andorra,77265,3/25/2021,11687,15.13
Montenegro,628062,4/15/2021,95042,15.13
Czechia,10708982,4/25/2021,1619383,15.12
Czechia,10708982,4/24/2021,1618068,15.11
Montenegro,628062,4/14/2021,94859,15.1
Czechia,10708982,4/23/2021,1615461,15.09
Montenegro,628062,4/13/2021,94643,15.07
Czechia,10708982,4/22/2021,1612832,15.06
Andorra,77265,3/24/2021,11638,15.06
Czechia,10708982,4/21/2021,1609861,15.03
Montenegro,628062,4/12/2021,94419,15.03
Montenegro,628062,4/11/2021,94269,15.01
Czechia,10708982,4/20/2021,1606030,15
Andorra,77265,3/23/2021,11591,15
Czechia,10708982,4/19/2021,1602711,14.97
Montenegro,628062,4/10/2021,94035,14.97
Czechia,10708982,4/18/2021,1601881,14.96
Czechia,10708982,4/17/2021,1600341,14.94
Andorra,77265,3/22/2021,11545,14.94
Montenegro,628062,4/9/2021,93803,14.94
San Marino,33938,4/30/2021,5066,14.93
San Marino,33938,4/28/2021,5059,14.91
San Marino,33938,4/29/2021,5060,14.91
Andorra,77265,3/21/2021,11517,14.91
Czechia,10708982,4/16/2021,1597103,14.91
San Marino,33938,4/27/2021,5058,14.9
Montenegro,628062,4/8/2021,93566,14.9
